station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PVC,2017-11-03 00:00,-70.2200,42.0700,M,M,M,180.00,11.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030000Z AUTO 18011KT 10SM CLR A3024 RMK MADISHF
PYM,2017-11-03 00:00,-70.7288,41.9090,M,M,M,170.00,5.00,M,30.24,M,10.00,M,FEW,M,M,M,600.00,M,M,M,M,KPYM 030000Z AUTO 17005KT 10SM FEW006 A3024 RMK MADISHF
OWD,2017-11-03 00:00,-71.1733,42.1912,M,M,M,170.00,4.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOWD 030000Z AUTO 17004KT 10SM CLR A3021 RMK MADISHF
EWB,2017-11-03 00:00,-70.9583,41.6764,M,M,M,180.00,4.00,M,30.23,M,10.00,M,FEW,M,M,M,499.00,M,M,M,M,KEWB 030000Z AUTO 18004KT 10SM FEW004 A3023 RMK MADISHF
CQX,2017-11-03 00:00,-69.9933,41.6875,M,M,M,180.00,3.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCQX 030000Z AUTO 18003KT 10SM CLR A3026 RMK VRB03KT  MADISHF
HYA,2017-11-03 00:00,-70.2800,41.6700,M,M,M,210.00,3.00,M,30.24,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KHYA 030000Z AUTO 21003KT 7SM CLR A3024 RMK MADISHF
BED,2017-11-03 00:00,-71.2890,42.4699,M,M,M,180.00,10.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBED 030000Z AUTO 18010KT 10SM CLR A3019 RMK MADISHF
FIT,2017-11-03 00:00,-71.7558,42.5519,M,M,M,160.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFIT 030000Z AUTO 16004KT 10SM CLR A3020 RMK MADISHF
BOS,2017-11-03 00:00,-71.0097,42.3606,M,M,M,190.00,8.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOS 030000Z AUTO 19008KT 10SM CLR A3021 RMK MADISHF
ORH,2017-11-03 00:00,-71.8757,42.2673,M,M,M,190.00,10.00,M,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KORH 030000Z AUTO 19010KT 10SM CLR A3022 RMK MADISHF
